Year	Airport	Passenger
2004	HEATHROW	67,109,174
2004	GATWICK	31,391,546
2004	STANSTED	20,907,023
2004	LUTON	7,520,467
2004	LONDON CITY	1,674,807
2004	SOUTHEND	3,224
2005	HEATHROW	67,683,317
2005	GATWICK	32,693,005
2005	STANSTED	21,991,733
2005	LUTON	9,134,748
2005	LONDON CITY	1,996,397
2005	SOUTHEND	5,133
2006	HEATHROW	67,339,227
2006	GATWICK	34,080,345
2006	STANSTED	23,680,352
2006	LUTON	9,414,829
2006	LONDON CITY	2,358,159
2006	SOUTHEND	30,222
2007	HEATHROW	67,852,387
2007	GATWICK	35,165,404
2007	STANSTED	23,759,250
2007	LUTON	9,919,361
2007	LONDON CITY	2,912,123
2007	SOUTHEND	49,311
2008	HEATHROW	66,906,954
2008	GATWICK	34,162,014
2008	STANSTED	22,340,375
2008	LUTON	10,173,902
2008	LONDON CITY	3,260,225
2008	SOUTHEND	44,075
2009	HEATHROW	65,906,641
2009	GATWICK	32,360,773
2009	STANSTED	19,949,689
2009	LUTON	9,115,327
2009	LONDON CITY	2,796,890
2009	SOUTHEND	3,948
2010	HEATHROW	65,745,250
2010	GATWICK	31,342,263
2010	STANSTED	18,561,598
2010	LUTON	8,733,837
2010	LONDON CITY	2,780,582
2010	SOUTHEND	3,583
2011	HEATHROW	69,390,591
2011	GATWICK	33,643,989
2011	STANSTED	18,047,403
2011	LUTON	9,509,915
2011	LONDON CITY	2,992,847
2011	SOUTHEND	42,439
2012	HEATHROW	69,983,139
2012	GATWICK	34,218,668
2012	STANSTED	17,464,792
2012	LUTON	9,614,175
2012	LONDON CITY	3,016,664
2012	SOUTHEND	616,974
2013	HEATHROW	72,331,690
2013	GATWICK	35,428,548
2013	STANSTED	17,848,871
2013	LUTON	9,693,487
2013	LONDON CITY	3,379,753
2013	SOUTHEND	969,912
2014	HEATHROW	73,371,096
2014	GATWICK	38,093,930
2014	STANSTED	19,958,047
2014	LUTON	10,481,501
2014	LONDON CITY	3,647,824
2014	SOUTHEND	1,102,260
